Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,symmetric,0.91,0.357537196
100% Corpus,2,0.01,0.91,0.357272644
100% Corpus,7,asymmetric,0.01,0.356884387
100% Corpus,10,0.31,0.01,0.356621018
100% Corpus,6,symmetric,0.01,0.356178594
100% Corpus,5,0.61,0.01,0.355766136
100% Corpus,6,0.01,0.01,0.355465013
100% Corpus,7,symmetric,0.01,0.354759038
100% Corpus,7,asymmetric,0.91,0.354660199
100% Corpus,6,0.91,symmetric,0.352402001
100% Corpus,8,0.61,symmetric,0.351590182
100% Corpus,4,0.91,0.31,0.346477688
100% Corpus,4,asymmetric,0.01,0.343886914
100% Corpus,4,0.91,symmetric,0.342893305
100% Corpus,7,0.61,symmetric,0.341927595
100% Corpus,7,0.91,symmetric,0.341103763
100% Corpus,9,0.61,symmetric,0.340095573
100% Corpus,9,0.91,symmetric,0.339777199
100% Corpus,10,0.91,symmetric,0.331930392
100% Corpus,3,0.91,0.31,0.330343882
100% Corpus,10,0.61,symmetric,0.330175747
100% Corpus,3,0.91,symmetric,0.329315662
100% Corpus,8,0.91,symmetric,0.327521451
